datetime_utc,storage_slots_used,max_storage_slots
2024-01-30 12:42:48, 127, 25000
2024-01-30 22:39:48, 247, 25000
2024-01-31 00:57:21, 257, 25000
2024-01-31 02:39:45, 265, 25000
2024-01-31 04:40:05, 282, 25000
2024-01-31 06:40:05, 293, 25000
2024-01-31 08:39:48, 299, 25000
2024-01-31 10:39:59, 314, 25000
2024-01-31 12:44:05, 338, 25000
2024-01-31 14:39:54, 383, 25000
2024-01-31 16:39:50, 400, 25000
2024-01-31 18:39:55, 412, 25000
2024-01-31 20:40:04, 420, 25000
2024-01-31 22:39:58, 422, 25000
2024-02-01 00:57:29, 452, 25000
2024-02-01 02:39:47, 468, 25000
