datetime_utc,activedids
2024-08-05 07:02:26, 123
2024-08-05 12:38:42, 123
2024-08-06 00:41:31, 123
2024-08-06 01:19:57, 123
2024-08-06 12:38:37, 124
2024-08-07 00:41:32, 124
2024-08-07 12:38:36, 124
2024-08-08 00:41:36, 124
2024-08-08 12:38:38, 124
2024-08-09 00:41:35, 124
2024-08-09 12:38:39, 125
2024-08-10 00:41:35, 125
2024-08-10 12:38:12, 125
2024-08-11 00:41:48, 125
2024-08-11 12:38:12, 125
2024-08-12 00:41:38, 125
2024-08-12 12:38:50, 125
2024-08-13 00:41:41, 125
2024-08-13 12:38:39, 125
2024-08-14 00:41:33, 125
2024-08-14 12:38:36, 125
2024-08-15 00:41:28, 125
2024-08-15 12:38:32, 125
2024-08-16 00:41:26, 125
2024-08-16 12:38:31, 125
2024-08-17 00:41:28, 125
2024-08-17 12:37:24, 125
2024-08-18 00:41:41, 125
2024-08-18 12:38:28, 125
2024-08-19 00:41:32, 125
2024-08-19 12:38:34, 125
2024-08-20 00:41:37, 125
2024-08-20 12:38:41, 125
2024-08-21 00:41:31, 125
2024-08-21 12:38:16, 125
2024-08-22 00:41:33, 125
2024-08-22 12:38:40, 125
2024-08-23 00:41:29, 125
2024-08-23 12:38:32, 125
2024-08-24 00:41:28, 125
2024-08-24 12:38:21, 125
2024-08-25 00:41:48, 125
2024-08-25 12:38:13, 125
2024-08-26 00:41:34, 125
2024-08-26 12:39:03, 126
2024-08-27 00:41:35, 126
2024-08-27 12:38:38, 126
2024-08-28 00:41:34, 126
2024-08-28 12:38:53, 126
2024-08-29 00:41:40, 126
2024-08-29 12:38:45, 126
2024-08-30 00:41:39, 126
2024-08-30 12:38:44, 126
2024-08-31 00:41:43, 126
2024-08-31 12:38:25, 126
2024-09-01 00:41:59, 126
2024-09-01 12:38:30, 126
2024-09-02 00:41:43, 126
2024-09-02 12:38:54, 126
2024-09-03 00:41:35, 126
2024-09-03 12:38:51, 126
2024-09-04 00:41:40, 126
2024-09-04 12:38:57, 126
2024-09-05 00:41:41, 126
2024-09-05 12:38:51, 126
2024-09-06 00:41:40, 126
2024-09-06 12:38:39, 126
2024-09-07 00:41:37, 126
2024-09-07 12:38:21, 126
2024-09-08 00:41:56, 126
2024-09-08 12:38:26, 126
2024-09-09 00:41:46, 126
2024-09-09 12:38:55, 126
2024-09-10 00:41:43, 126
2024-09-10 12:39:01, 126
2024-09-11 00:41:36, 126
2024-09-11 12:38:58, 126
2024-09-12 00:41:42, 126
2024-09-12 12:38:46, 126
2024-09-13 00:41:41, 126
2024-09-13 12:38:48, 127
2024-09-14 00:41:39, 127
2024-09-14 12:38:30, 127
2024-09-15 00:41:58, 127
2024-09-15 12:38:33, 127
2024-09-16 00:41:52, 127
2024-09-16 12:39:05, 127
2024-09-17 00:41:12, 127
2024-09-17 12:38:54, 127
2024-09-18 00:41:40, 127
2024-09-18 12:38:51, 127
2024-09-19 00:41:45, 127
2024-09-19 12:38:53, 127
2024-09-20 00:41:38, 127
2024-09-20 12:38:55, 127
2024-09-21 00:41:42, 127
2024-09-21 12:38:30, 127
2024-09-22 00:41:55, 127
2024-09-22 12:38:37, 127
2024-09-23 00:41:50, 127
2024-09-23 12:39:01, 127
2024-09-24 00:41:57, 127
2024-09-24 12:39:15, 127
2024-09-25 00:41:49, 127
2024-09-25 12:39:10, 127
2024-09-26 00:41:45, 127
2024-09-26 12:39:10, 127
2024-09-27 00:41:49, 127
2024-09-27 12:39:00, 127
2024-09-28 00:41:49, 127
2024-09-28 12:38:36, 127
2024-09-29 00:42:01, 127
2024-09-29 12:38:39, 127
2024-09-30 00:41:54, 127
2024-09-30 12:39:19, 127
2024-10-01 00:42:01, 127
2024-10-01 12:39:13, 127
2024-10-02 00:41:48, 127
2024-10-02 12:39:04, 127
2024-10-03 00:41:49, 127
2024-10-03 12:39:06, 127
2024-10-04 00:41:48, 127
2024-10-04 12:39:01, 127
2024-10-05 00:41:59, 127
2024-10-05 12:38:47, 127
2024-10-06 00:42:00, 127
2024-10-06 12:38:40, 127
2024-10-07 00:41:56, 127
2024-10-07 12:39:12, 127
2024-10-08 00:41:46, 127
2024-10-08 12:38:57, 127
2024-10-09 00:41:45, 127
2024-10-09 12:39:00, 127
2024-10-10 00:41:48, 127
2024-10-10 12:39:02, 127
2024-10-11 00:41:54, 127
2024-10-11 12:38:56, 127
2024-10-12 00:41:41, 127
2024-10-12 12:38:38, 127
2024-10-13 00:42:00, 127
2024-10-13 12:38:42, 127
2024-10-14 00:41:53, 127
2024-10-14 12:39:14, 127
2024-10-15 00:41:55, 127
2024-10-15 12:39:09, 127
2024-10-16 00:41:50, 127
2024-10-16 12:39:10, 127
2024-10-17 00:41:48, 127
2024-10-17 12:39:11, 127
2024-10-18 00:41:49, 127
2024-10-18 12:39:04, 127
2024-10-19 00:41:50, 127
2024-10-19 12:38:43, 127
2024-10-20 00:42:01, 127
2024-10-20 12:38:47, 127
2024-10-21 00:41:55, 127
2024-10-21 12:39:10, 127
2024-10-22 00:41:50, 127
2024-10-22 12:39:08, 127
2024-10-23 00:41:43, 127
2024-10-23 12:39:05, 127
2024-10-24 00:41:47, 127
2024-10-24 12:39:08, 127
2024-10-25 00:41:50, 127
2024-10-25 12:39:05, 127
2024-10-26 00:41:45, 127
2024-10-26 12:38:40, 127
2024-10-27 00:41:57, 127
2024-10-27 12:38:38, 127
2024-10-28 00:41:57, 127
2024-10-28 12:39:12, 127
2024-10-29 00:41:53, 127
