datetime_utc,storage_slots_used,max_storage_slots
2024-05-15 04:40:05, 3, 35000
2024-05-15 06:40:18, 3, 35000
2024-05-15 08:40:34, 3, 35000
2024-05-15 10:39:43, 10, 35000
2024-05-15 12:46:39, 17, 35000
2024-05-15 14:39:57, 28, 35000
2024-05-15 16:40:49, 36, 35000
2024-05-15 18:39:59, 37, 35000
2024-05-15 20:40:10, 39, 35000
2024-05-15 22:40:48, 39, 35000
2024-05-16 00:57:29, 42, 35000
2024-05-16 02:41:51, 42, 35000
2024-05-16 04:39:44, 42, 35000
2024-05-16 06:39:56, 46, 35000
2024-05-16 08:40:10, 48, 35000
2024-05-16 10:39:48, 51, 35000
2024-05-16 12:46:23, 64, 35000
2024-05-16 14:39:58, 79, 35000
2024-05-16 16:40:36, 86, 35000
2024-05-16 18:40:24, 91, 35000
2024-05-16 20:39:59, 94, 35000
2024-05-16 22:39:55, 95, 35000
2024-05-17 00:57:35, 106, 35000
2024-05-17 02:41:15, 110, 35000
2024-05-17 04:39:53, 117, 35000
2024-05-17 06:40:20, 119, 35000
2024-05-17 08:40:01, 120, 35000
2024-05-17 10:39:59, 121, 35000
2024-05-17 12:45:45, 123, 35000
2024-05-17 14:40:02, 129, 35000
2024-05-17 16:41:17, 131, 35000
2024-05-17 18:40:29, 131, 35000
2024-05-17 20:39:56, 131, 35000
2024-05-17 22:40:03, 136, 35000
2024-05-18 00:57:26, 136, 35000
2024-05-18 02:41:07, 138, 35000
2024-05-18 04:39:48, 138, 35000
2024-05-18 06:39:47, 138, 35000
2024-05-18 08:40:13, 138, 35000
