datetime_utc,storage_slots_used,max_storage_slots
2024-05-15 04:40:05, 7, 35000
2024-05-15 06:40:18, 13, 35000
2024-05-15 08:40:33, 17, 35000
2024-05-15 10:39:43, 22, 35000
2024-05-15 12:46:39, 31, 35000
2024-05-15 14:39:56, 35, 35000
2024-05-15 16:40:48, 42, 35000
2024-05-15 18:39:58, 45, 35000
2024-05-15 20:40:09, 45, 35000
2024-05-15 22:40:47, 45, 35000
2024-05-16 00:57:28, 48, 35000
2024-05-16 02:41:50, 48, 35000
2024-05-16 04:39:43, 50, 35000
2024-05-16 06:39:56, 52, 35000
2024-05-16 08:40:09, 65, 35000
2024-05-16 10:39:48, 66, 35000
2024-05-16 12:46:23, 84, 35000
2024-05-16 14:39:57, 101, 35000
2024-05-16 16:40:36, 112, 35000
2024-05-16 18:40:23, 114, 35000
2024-05-16 20:39:58, 115, 35000
2024-05-16 22:39:54, 116, 35000
2024-05-17 00:57:34, 119, 35000
2024-05-17 02:41:15, 122, 35000
2024-05-17 04:39:52, 124, 35000
2024-05-17 06:40:19, 124, 35000
2024-05-17 08:40:00, 127, 35000
2024-05-17 10:39:58, 127, 35000
2024-05-17 12:45:45, 129, 35000
2024-05-17 14:40:01, 131, 35000
2024-05-17 16:41:16, 131, 35000
2024-05-17 18:40:28, 131, 35000
2024-05-17 20:39:56, 132, 35000
2024-05-17 22:40:02, 132, 35000
2024-05-18 00:57:25, 132, 35000
2024-05-18 02:41:06, 134, 35000
2024-05-18 04:39:47, 137, 35000
2024-05-18 06:39:46, 137, 35000
2024-05-18 08:40:13, 137, 35000
2024-05-18 10:39:44, 139, 35000
2024-05-18 12:45:04, 140, 35000
2024-05-18 14:39:50, 145, 35000
2024-05-18 16:39:52, 145, 35000
2024-05-18 18:39:47, 145, 35000
2024-05-18 20:39:59, 145, 35000
2024-05-18 22:40:00, 145, 35000
2024-05-19 00:57:44, 145, 35000
2024-05-19 02:42:24, 145, 35000
2024-05-19 04:40:08, 145, 35000
2024-05-19 06:40:00, 145, 35000
2024-05-19 08:39:52, 145, 35000
2024-05-19 10:39:55, 145, 35000
2024-05-19 12:44:35, 148, 35000
2024-05-19 14:39:57, 149, 35000
2024-05-19 16:40:41, 152, 35000
2024-05-19 18:39:57, 157, 35000
2024-05-19 20:39:45, 158, 35000
2024-05-19 22:39:53, 158, 35000
2024-05-20 00:57:33, 158, 35000
2024-05-20 02:43:12, 158, 35000
2024-05-20 04:40:51, 158, 35000
2024-05-20 06:40:39, 158, 35000
2024-05-20 08:40:10, 159, 35000
2024-05-20 10:39:54, 159, 35000
2024-05-20 12:46:41, 163, 35000
2024-05-20 14:39:55, 163, 35000
2024-05-20 16:40:59, 163, 35000
2024-05-20 18:40:18, 163, 35000
2024-05-20 20:39:50, 163, 35000
2024-05-20 22:39:43, 163, 35000
2024-05-21 00:57:28, 163, 35000
2024-05-21 02:41:56, 163, 35000
2024-05-21 04:39:45, 163, 35000
2024-05-21 06:40:46, 163, 35000
2024-05-21 08:40:16, 163, 35000
2024-05-21 10:39:53, 163, 35000
2024-05-21 12:46:42, 163, 35000
2024-05-21 14:40:02, 165, 35000
2024-05-21 16:40:32, 167, 35000
2024-05-21 18:40:04, 167, 35000
2024-05-21 20:40:08, 167, 35000
2024-05-21 22:39:47, 167, 35000
2024-05-22 00:57:32, 169, 35000
2024-05-22 02:42:15, 170, 35000
