datetime_utc,current_users,max_users
2023-07-04 01:36:34, 2566, 20000
2023-07-04 01:48:23, 2566, 20000
2023-07-04 12:48:12, 2579, 20000
2023-07-05 00:55:06, 2585, 20000
2023-07-05 12:49:39, 2602, 20000
2023-07-07 00:55:31, 2930, 20000
2023-07-07 05:21:24, 2938, 20000
2023-07-07 05:25:25, 2939, 20000
2023-07-07 12:47:23, 2969, 20000
2023-07-08 00:55:08, 3005, 20000
2023-07-08 12:45:36, 3016, 20000
2023-07-09 00:55:23, 3051, 20000
2023-07-09 12:45:37, 3086, 20000
2023-07-10 00:55:53, 3162, 20000
2023-07-10 12:47:56, 3196, 20000
2023-07-11 00:55:19, 3236, 20000
2023-07-11 12:48:01, 3263, 20000
2023-07-12 00:55:07, 3282, 20000
2023-07-12 05:07:11, 3285, 20000
2023-07-12 05:57:14, 3285, 20000
2023-07-12 06:09:13, 3285, 20000
2023-07-12 12:48:29, 3294, 20000
2023-07-13 00:55:25, 3300, 20000
2023-07-13 12:48:31, 3338, 20000
2023-07-14 00:56:07, 3360, 20000
2023-07-14 12:47:28, 3369, 20000
2023-07-18 00:56:35, 3539, 20000
2023-07-18 12:46:14, 3567, 20000
2023-07-19 00:59:06, 3575, 20000
2023-07-19 12:45:01, 3587, 20000
2023-07-20 00:55:45, 3588, 20000
2023-07-20 12:45:20, 3598, 20000
2023-07-21 00:55:03, 3614, 20000
2023-07-21 12:44:22, 3624, 20000
