datetime_utc,storage_slots_used,max_storage_slots
2024-05-15 06:40:22, 3, 35000
2024-05-15 08:40:38, 10, 35000
2024-05-15 08:40:41, 10, 35000
2024-05-15 10:39:47, 12, 35000
2024-05-15 10:39:49, 12, 35000
2024-05-15 12:46:43, 12, 35000
2024-05-15 12:46:45, 12, 35000
2024-05-15 14:40:00, 25, 35000
2024-05-15 14:40:02, 25, 35000
2024-05-15 16:40:53, 49, 35000
2024-05-15 16:40:55, 49, 35000
2024-05-15 18:40:03, 51, 35000
2024-05-15 18:40:05, 51, 35000
2024-05-15 20:40:13, 54, 35000
2024-05-15 20:40:15, 54, 35000
2024-05-15 22:40:51, 54, 35000
2024-05-15 22:40:54, 54, 35000
2024-05-16 00:57:33, 56, 35000
2024-05-16 00:57:36, 56, 35000
2024-05-16 02:41:54, 56, 35000
2024-05-16 02:41:56, 56, 35000
2024-05-16 04:39:47, 61, 35000
2024-05-16 04:39:49, 61, 35000
2024-05-16 06:40:00, 77, 35000
2024-05-16 08:40:13, 78, 35000
2024-05-16 10:39:53, 84, 35000
